"Reported_Date","Header_From","SPF_Authentication_Domain","DKIM_Authentication_Domain","Email_Provider",Domain,"IP_Address","Host_Details",Score,"State_of_IP",Owner,"Email_Volume","DMARC_Pass_Fail","SPF_Authentication","SPF_Alignment","SPF_Policy","DKIM_Authentication","DKIM_Alignment","DKIM_Policy","Policy_evaluated_Disposition","Reason_Comment","Reason_Type"
"02/03/2023 00:00:00","randstadsourceright.co.uk","randstadsourceright.co.uk","randstadsourceright.co.uk",Yahoo,"randstadsourceright.co.uk","209.85.128.44","mail-wm1-f44.google.com",87,"80,0","GOOGLE,US",1,1,1,1,1,1,1,1,none,NA,NA
"02/03/2023 00:00:00","randstadsourceright.co.uk","randstadsourceright.co.uk","randstadsourceright.co.uk",Yahoo,"randstadsourceright.co.uk","209.85.128.45","mail-wm1-f45.google.com",86,"79,1","GOOGLE,US",1,1,1,1,1,1,1,1,none,NA,NA
"02/02/2023 23:00:03","randstadsourceright.co.uk","randstadsourceright.co.uk","randstadsourceright.co.uk","esa1.hc344-38.eu.iphmx.com","randstadsourceright.co.uk","209.85.128.46","mail-wm1-f46.google.com",76,"79,1","GOOGLE,US",1,1,1,1,1,1,1,1,none,NA,NA
"02/03/2023 00:00:00","randstadsourceright.co.uk","randstadsourceright.co.uk","randstadsourceright.co.uk",Yahoo,"randstadsourceright.co.uk","209.85.128.46","mail-wm1-f46.google.com",76,"79,1","GOOGLE,US",2,1,1,1,1,1,1,1,none,NA,NA
"01/31/2023 00:00:00","randstadsourceright.co.uk","randstadsourceright.co.uk","randstadsourceright.co.uk","linkedin.com","randstadsourceright.co.uk","209.85.128.47","mail-wm1-f47.google.com",90,"79,0","GOOGLE,US",1,1,0,0,0,1,1,1,none,NA,NA
"02/01/2023 00:00:00","randstadsourceright.co.uk","randstadsourceright.co.uk","randstadsourceright.co.uk",Yahoo,"randstadsourceright.co.uk","209.85.128.47","mail-wm1-f47.google.com",90,"79,0","GOOGLE,US",1,1,0,0,0,1,1,1,none,NA,NA
"02/03/2023 00:00:00","randstadsourceright.co.uk","randstadsourceright.co.uk","randstadsourceright.co.uk",Yahoo,"randstadsourceright.co.uk","209.85.128.47","mail-wm1-f47.google.com",90,"79,0","GOOGLE,US",1,1,1,1,1,1,1,1,none,NA,NA
"02/02/2023 23:00:03","randstadsourceright.co.uk","randstadsourceright.co.uk","randstadsourceright.co.uk","esa2.hc344-38.eu.iphmx.com","randstadsourceright.co.uk","209.85.128.47","mail-wm1-f47.google.com",90,"79,0","GOOGLE,US",2,1,1,1,1,1,1,1,none,NA,NA
"02/01/2023 00:00:00","randstadsourceright.co.uk","randstadsourceright.co.uk","randstadsourceright.co.uk",Yahoo,"randstadsourceright.co.uk","209.85.128.48","mail-wm1-f48.google.com",89,"79,1","GOOGLE,US",1,1,0,0,0,1,1,1,none,NA,NA
"02/02/2023 00:00:00","randstadsourceright.co.uk","randstadsourceright.co.uk","randstadsourceright.co.uk",Yahoo,"randstadsourceright.co.uk","209.85.128.48","mail-wm1-f48.google.com",89,"79,1","GOOGLE,US",1,1,1,1,1,1,1,1,none,NA,NA
"02/01/2023 00:00:00","randstadsourceright.co.uk","randstadsourceright.co.uk","randstadsourceright.co.uk",Yahoo,"randstadsourceright.co.uk","209.85.128.49","mail-wm1-f49.google.com",91,"79,0","GOOGLE,US",1,1,0,0,0,1,1,1,none,NA,NA
"02/02/2023 00:00:00","randstadsourceright.co.uk","randstadsourceright.co.uk","randstadsourceright.co.uk",Yahoo,"randstadsourceright.co.uk","209.85.128.49","mail-wm1-f49.google.com",91,"79,0","GOOGLE,US",1,1,1,1,1,1,1,1,none,NA,NA
"02/01/2023 00:00:00","randstadsourceright.co.uk","randstadsourceright.co.uk","randstadsourceright.co.uk",Yahoo,"randstadsourceright.co.uk","209.85.128.50","mail-wm1-f50.google.com",82,"79,1","GOOGLE,US",1,1,0,0,0,1,1,1,none,NA,NA
"02/01/2023 00:00:00","randstadsourceright.co.uk","randstadsourceright.co.uk","randstadsourceright.co.uk",Yahoo,"randstadsourceright.co.uk","209.85.128.50","mail-wm1-f50.google.com",82,"79,1","GOOGLE,US",1,1,1,1,1,1,1,1,none,NA,NA
"02/03/2023 00:00:00","randstadsourceright.co.uk","randstadsourceright.co.uk","randstadsourceright.co.uk","AMAZON-SES Yahoo","randstadsourceright.co.uk","209.85.128.50","mail-wm1-f50.google.com",82,"79,1","GOOGLE,US",1,1,1,1,1,1,1,1,none,NA,NA
"02/05/2023 00:00:00","randstadsourceright.co.uk","randstadsourceright.co.uk","randstadsourceright.co.uk",Yahoo,"randstadsourceright.co.uk","209.85.128.50","mail-wm1-f50.google.com",82,"79,1","GOOGLE,US",1,1,1,1,1,1,1,1,none,NA,NA
"02/01/2023 00:00:00","randstadsourceright.co.uk","randstadsourceright.co.uk","randstadsourceright.co.uk",Yahoo,"randstadsourceright.co.uk","209.85.128.51","mail-wm1-f51.google.com",89,"89,0","GOOGLE,US",1,1,0,0,0,1,1,1,none,NA,NA
"02/01/2023 00:00:00","randstadsourceright.co.uk","randstadsourceright.co.uk","randstadsourceright.co.uk",Yahoo,"randstadsourceright.co.uk","209.85.128.52","mail-wm1-f52.google.com",89,"89,0","GOOGLE,US",1,1,0,0,0,1,1,1,none,NA,NA
"02/01/2023 00:00:00","randstadsourceright.co.uk","randstadsourceright.co.uk","randstadsourceright.co.uk",Yahoo,"randstadsourceright.co.uk","209.85.128.52","mail-wm1-f52.google.com",89,"89,0","GOOGLE,US",1,1,1,1,1,1,1,1,none,NA,NA
"02/03/2023 00:00:00","randstadsourceright.co.uk","randstadsourceright.co.uk","randstadsourceright.co.uk",Yahoo,"randstadsourceright.co.uk","209.85.128.52","mail-wm1-f52.google.com",89,"89,0","GOOGLE,US",1,1,1,1,1,1,1,1,none,NA,NA
"02/03/2023 00:00:00","randstadsourceright.co.uk","randstadsourceright.co.uk","randstadsourceright.co.uk",Yahoo,"randstadsourceright.co.uk","209.85.128.53","mail-wm1-f53.google.com",76,"79,0","GOOGLE,US",1,1,1,1,1,1,1,1,none,NA,NA
"02/01/2023 00:00:00","randstadsourceright.co.uk","randstadsourceright.co.uk","randstadsourceright.co.uk",Yahoo,"randstadsourceright.co.uk","209.85.128.53","mail-wm1-f53.google.com",76,"79,0","GOOGLE,US",2,1,0,0,0,1,1,1,none,NA,NA
"02/01/2023 00:00:00","randstadsourceright.co.uk","randstadsourceright.co.uk","randstadsourceright.co.uk",Yahoo,"randstadsourceright.co.uk","209.85.128.54","mail-wm1-f54.google.com",85,"79,0","GOOGLE,US",1,1,0,0,0,1,1,1,none,NA,NA
"02/02/2023 00:00:00","randstadsourceright.co.uk","randstadsourceright.co.uk","randstadsourceright.co.uk",Yahoo,"randstadsourceright.co.uk","209.85.128.54","mail-wm1-f54.google.com",85,"79,0","GOOGLE,US",1,1,1,1,1,1,1,1,none,NA,NA
"02/01/2023 00:00:00","randstadsourceright.co.uk","randstadsourceright.co.uk","randstadsourceright.co.uk",Yahoo,"randstadsourceright.co.uk","209.85.128.54","mail-wm1-f54.google.com",85,"79,0","GOOGLE,US",2,1,0,0,0,1,1,1,none,NA,NA
"02/04/2023 00:00:00","randstadsourceright.co.uk","calendar-server.bounces.google.com","google.com randstadsourceright.co.uk","AMAZON-SES","randstadsourceright.co.uk","209.85.128.73","mail-wm1-f73.google.com",98,"89,0","GOOGLE,US",1,1,1,0,0,1,1,1,none,NA,NA
"02/04/2023 00:00:00","randstadsourceright.co.uk","calendar-server.bounces.google.com","google.com randstadsourceright.co.uk","AMAZON-SES","randstadsourceright.co.uk","209.85.128.74","mail-wm1-f74.google.com",97,"89,0","GOOGLE,US",1,1,1,0,0,1,1,1,none,NA,NA
"02/05/2023 00:00:00","randstadsourceright.co.uk","calendar-server.bounces.google.com","google.com randstadsourceright.co.uk",Yahoo,"randstadsourceright.co.uk","209.85.128.74","mail-wm1-f74.google.com",97,"89,0","GOOGLE,US",1,1,1,0,0,1,1,1,none,NA,NA
"02/05/2023 00:00:00","randstadsourceright.co.uk","randstadsourceright.co.uk","google.com randstadsourceright.co.uk",Yahoo,"randstadsourceright.co.uk","209.85.128.74","mail-wm1-f74.google.com",97,"89,0","GOOGLE,US",1,1,1,1,1,1,1,1,none,NA,NA
"02/02/2023 00:00:00","randstadsourceright.co.uk","calendar-server.bounces.google.com","google.com randstadsourceright.co.uk","AMAZON-SES","randstadsourceright.co.uk","209.85.128.74","mail-wm1-f74.google.com",97,"89,0","GOOGLE,US",2,1,1,0,0,1,1,1,none,NA,NA
"02/04/2023 22:55:03","randstadsourceright.co.uk","trix.bounces.google.com","randstadsourceright.co.uk","belgacom.be","randstadsourceright.co.uk","209.85.160.70","mail-oa1-f70.google.com",,,,1,1,1,0,0,1,1,1,none,NA,NA
"02/01/2023 23:00:02","randstadsourceright.co.uk","randstadsourceright.co.uk","randstadsourceright.co.uk","esa2.hc344-38.eu.iphmx.com","randstadsourceright.co.uk","209.85.166.170","mail-il1-f170.google.com",88,"79,0","GOOGLE,US",2,1,1,1,1,1,1,1,none,NA,NA
"02/02/2023 00:00:00","randstadsourceright.co.uk","randstadsourceright.co.uk","randstadsourceright.co.uk","Area 1 Security Yahoo","randstadsourceright.co.uk","209.85.167.41","mail-lf1-f41.google.com",83,"79,1","GOOGLE,US",1,1,1,1,1,1,1,1,none,NA,NA
"02/03/2023 00:00:00","randstadsourceright.co.uk","randstadsourceright.co.uk","randstadsourceright.co.uk",Yahoo,"randstadsourceright.co.uk","209.85.167.41","mail-lf1-f41.google.com",83,"79,1","GOOGLE,US",1,1,1,1,1,1,1,1,none,NA,NA
"02/02/2023 00:00:00","randstadsourceright.co.uk","randstadsourceright.co.uk","randstadsourceright.co.uk",Yahoo,"randstadsourceright.co.uk","209.85.167.41","mail-lf1-f41.google.com",83,"79,1","GOOGLE,US",2,1,1,1,1,1,1,1,none,NA,NA
"02/03/2023 00:00:00","randstadsourceright.co.uk","randstadsourceright.co.uk","randstadsourceright.co.uk",Yahoo,"randstadsourceright.co.uk","209.85.167.41","mail-lf1-f41.google.com",83,"79,1","GOOGLE,US",2,1,1,1,1,1,1,1,none,NA,NA
"02/02/2023 00:00:00","randstadsourceright.co.uk","randstadsourceright.co.uk","randstadsourceright.co.uk",Yahoo,"randstadsourceright.co.uk","209.85.167.42","mail-lf1-f42.google.com",85,"79,0","GOOGLE,US",1,1,1,1,1,1,1,1,none,NA,NA
"02/03/2023 00:00:00","randstadsourceright.co.uk","randstadsourceright.co.uk","randstadsourceright.co.uk",Yahoo,"randstadsourceright.co.uk","209.85.167.42","mail-lf1-f42.google.com",85,"79,0","GOOGLE,US",1,1,1,1,1,1,1,1,none,NA,NA
"02/01/2023 00:00:00","randstadsourceright.co.uk","randstadsourceright.co.uk","randstadsourceright.co.uk",Yahoo,"randstadsourceright.co.uk","209.85.167.43","mail-lf1-f43.google.com",83,"80,0","GOOGLE,US",1,1,0,0,0,1,1,1,none,NA,NA
"02/02/2023 00:00:00","randstadsourceright.co.uk","randstadsourceright.co.uk","randstadsourceright.co.uk",Yahoo,"randstadsourceright.co.uk","209.85.167.43","mail-lf1-f43.google.com",83,"80,0","GOOGLE,US",1,1,1,1,1,1,1,1,none,NA,NA
"02/02/2023 00:00:00","randstadsourceright.co.uk","randstadsourceright.co.uk","randstadsourceright.co.uk",Yahoo,"randstadsourceright.co.uk","209.85.167.43","mail-lf1-f43.google.com",83,"80,0","GOOGLE,US",2,1,1,1,1,1,1,1,none,NA,NA
